exp_id,timestamp,config,hidden_sizes,dropout_rates,hidden_sizes_linear,dropout_rates_linear,lr,batch_size,early_stopping_patience,n_features,num_epochs,best_val_r2,notes
1,2026-04-13 22:13:32,config,"[512, 256]","[0.0, 0.0]","[500, 300]","[0.0, 0.0]",0.0001,4,10,71,10,-0.026334,config
2,2026-04-13 22:33:48,s02,"[256, 128]","[0.0, 0.0]","[500, 300]","[0.0, 0.0]",0.0001,4,10,71,10,-0.055122,s02
3,2026-04-13 22:58:35,s03,"[384, 192]","[0.0, 0.0]","[500, 300]","[0.0, 0.0]",0.0001,4,10,71,10,-0.028177,s03
4,2026-04-13 23:41:24,s04,"[768, 384]","[0.0, 0.0]","[500, 300]","[0.0, 0.0]",0.0001,4,10,71,10,-0.010259,s04
5,2026-04-13 23:42:00,s05,OOM,"OOM","OOM","OOM",0,0,0,0,0,0,OOM GPU OOM
6,2026-04-13 23:54:32,s06,"[384, 192, 96]","[0.0, 0.0, 0.0]","[500, 300]","[0.0, 0.0]",0.0001,4,10,71,10,-0.097895,s06
7,2026-04-14 00:12:44,s07,"[512, 256, 128]","[0.0, 0.0, 0.0]","[500, 300]","[0.0, 0.0]",0.0001,4,10,71,10,-0.002328,s07
8,2026-04-14 00:13:00,s08,OOM,"OOM","OOM","OOM",0,0,0,0,0,0,OOM GPU OOM
9,2026-04-14 00:13:00,s09,OOM,"OOM","OOM","OOM",0,0,0,0,0,0,OOM GPU OOM
10,2026-04-14 00:13:00,s10,OOM,"OOM","OOM","OOM",0,0,0,0,0,0,OOM GPU OOM
